k_array Pk[0,:]
3.350888669575652953e-04 4.445657309660246028e+03
3.386621535065288766e-04 4.490319970437905795e+03
3.422735445048495553e-04 4.535424185123759344e+03
3.459234462868752275e-04 4.580974133206620536e+03
3.496122695199809448e-04 4.626974030632175527e+03
3.533404292507746837e-04 4.673428130075117224e+03
3.571083449517958842e-04 4.720340721212727658e+03
3.609164405687135353e-04 4.767716130999840971e+03
3.647651445680244030e-04 4.815558723945191559e+03
3.686548899852627845e-04 4.863872902389171941e+03
3.725861144737234692e-04 4.912663101265721707e+03
3.765592603537032748e-04 4.961933751985838171e+03
3.805747746622705342e-04 5.011689303656693482e+03
3.846331092035606926e-04 5.061934241535381261e+03
3.887347205996125412e-04 5.112673087338719597e+03
3.928800703417444930e-04 5.163910399461294219e+03
3.970696248424788132e-04 5.215650773193974601e+03
4.013038554880211245e-04 5.267898840942220886e+03
4.055832386912962707e-04 5.320659272444453563e+03
4.099082559455530608e-04 5.373936774990643244e+03
4.142793938785390329e-04 5.427736093640673062e+03
4.186971443072527179e-04 5.482062011442765652e+03
4.231620042932819690e-04 5.536919349652169331e+03
4.276744761987281399e-04 5.592312967949070298e+03
4.322350677427308019e-04 5.648247764657196967e+03
4.368442920585932187e-04 5.704728676961762176e+03
4.415026677515169790e-04 5.761760681127523640e+03
4.462107189569542993e-04 5.819348792716536082e+03
4.509689753995782687e-04 5.877498066805733288e+03
4.557779724528865915e-04 5.936213598204431037e+03
4.606382511994382882e-04 5.995500521671288880e+03
4.655503584917331113e-04 6.055364012131256459e+03
4.705148470137421324e-04 6.115809284892096912e+03
4.755322753430901521e-04 6.176841595860364578e+03
4.806032080139056536e-04 6.238466241757493663e+03
4.857282155803386778e-04 6.300688560335061084e+03
4.909078746807560550e-04 6.363513930589638221e+03
4.961427681026235863e-04 6.426947772977453496e+03
5.014334848480753387e-04 6.490995549628317349e+03
5.067806202001866409e-04 6.555662764559087918e+03
5.121847757899521906e-04 6.620954963886541009e+03
5.176465596639772413e-04 6.686877734986471296e+03
5.231665863528943373e-04 6.753436658324173550e+03
5.287454769405034284e-04 6.820637285155171412e+03
5.343838591336554219e-04 6.888485199559539979e+03
5.400823673328775457e-04 6.956986023605843911e+03
5.458416427037521236e-04 7.026145417436716343e+03
5.516623332490594965e-04 7.095969079351310029e+03
5.575450938816846553e-04 7.166462745884994547e+03
5.634905864983061254e-04 7.237632191885550128e+03
5.694994800538689473e-04 7.309483230586719401e+03
5.755724506368515084e-04 7.382021713678074775e+03
5.817101815453370713e-04 7.455253531371928148e+03
5.879133633638919474e-04 7.529184612466660838e+03
5.941826940412682067e-04 7.603820924406953964e+03
6.005188789689330916e-04 7.679168473340038872e+03
6.069226310604345677e-04 7.755233304168875293e+03
6.133946708316176475e-04 7.832021500601580556e+03
6.199357264816888861e-04 7.909539185196812468e+03
6.265465339751522499e-04 7.987792519406029896e+03
6.332278371246146233e-04 8.066787703611176767e+03
6.399803876744759173e-04 8.146530977159293798e+03
6.468049453855128847e-04 8.227028618392290809e+03
6.537022781203604381e-04 8.308286944673287508e+03
6.606731619299093363e-04 8.390312312408654179e+03
6.677183811406226226e-04 8.473111117065647704e+03
6.748387284427837191e-04 8.556689793185909366e+03
6.820350049796878840e-04 8.641054814395078211e+03
6.893080204377785526e-04 8.726212693406945618e+03
6.966585931377518694e-04 8.812169982023993725e+03
7.040875501266287634e-04 8.898933271133042581e+03
7.115957272708094182e-04 8.986509190696233418e+03
7.191839693501232570e-04 9.074904409737167953e+03
7.268531301528744415e-04 9.164125597543239564e+03
7.346040725719089068e-04 9.254179276673427012e+03
7.424376687017014134e-04 9.345071945224648516e+03
7.503547999364780117e-04 9.436810129095876619e+03
7.583563570693895332e-04 9.529400381698942510e+03
7.664432403927333957e-04 9.622849283652767554e+03
7.746163597992533232e-04 9.717163442468880021e+03
7.828766348845148104e-04 9.812349492226536313e+03
7.912249950503718373e-04 9.908414093238749047e+03
7.996623796095418549e-04 1.000536393170839074e+04
8.081897378912871995e-04 1.010320571937460045e+04
8.168080293482317747e-04 1.020194619314897318e+04
8.255182236643125683e-04 1.030159211474146286e+04
8.343213008638829167e-04 1.040215027027671385e+04
8.432182514219822627e-04 1.050362746989935476e+04
8.522100763757746835e-04 1.060603054736930972e+04
8.612977874371830758e-04 1.070936635964594825e+04
8.704824071067210605e-04 1.081364178646232358e+04
8.797649687885384338e-04 1.091886372988789299e+04
8.891465169066972967e-04 1.102503911388065353e+04
8.986281070226803799e-04 1.113217488382817646e+04
9.082108059541601879e-04 1.124027800607723839e+04
9.178956918950311296e-04 1.134935546745240936e+04
9.276838545367206831e-04 1.145941427476318131e+04
9.375763951908008429e-04 1.157046145429945136e+04
9.475744269128911785e-04 1.168250405131546722e+04
9.576790746279071698e-04 1.179554912950191283e+04
9.678914752566199946e-04 1.190960377044610686e+04
