k Pk
1.991040057120820571e-03 2.292890684183252961e+04
2.012271907403268782e-03 2.313135874796417193e+04
2.033730167729454544e-03 2.333519023268116143e+04
2.055417252467754956e-03 2.354040123919824691e+04
2.077335601732642478e-03 2.374699150383346932e+04
2.099487681659232240e-03 2.395496055240414353e+04
2.121875984680765808e-03 2.416430769660930673e+04
2.144503029809034875e-03 2.437503203040212975e+04
2.167371362917814258e-03 2.458713242635289498e+04
2.190483557029308109e-03 2.480060753200042382e+04
2.213842212603651417e-03 2.501545576619742133e+04
2.237449957831507547e-03 2.523167531544833037e+04
2.261309448929764866e-03 2.544926413024011345e+04
2.285423370440410086e-03 2.566821992136993140e+04
2.309794435532574845e-03 2.588854015626808905e+04
2.334425386307804971e-03 2.611022205531860527e+04
2.359318994108597529e-03 2.633326258817973576e+04
2.384478059830201762e-03 2.655765847010211655e+04
2.409905414235771499e-03 2.678340615825134591e+04
2.435603918274864294e-03 2.701050184803061347e+04
2.461576463405337582e-03 2.723894146940884457e+04
2.487825971918690860e-03 2.746872068325328291e+04
2.514355397268849997e-03 2.769983487766951657e+04
2.541167724404485174e-03 2.793227916434907820e+04
2.568265970104858555e-03 2.816604837492734805e+04
2.595653183319252856e-03 2.840113705735149415e+04
2.623332445510033299e-03 2.863753947226218224e+04
2.651306870999342938e-03 2.887524958938837153e+04
2.679579607319518535e-03 2.911426108395847041e+04
2.708153835567230893e-03 2.935456733312901997e+04
2.737032770761404273e-03 2.959616140621303202e+04
2.766219662204964791e-03 2.983903527563708121e+04
2.795717793850404764e-03 3.008317901096980859e+04
2.825530484669314373e-03 3.032858210808547665e+04
2.855661089025785231e-03 3.057523403250864067e+04
2.886112997053832865e-03 3.082312495450600181e+04
2.916889635038852433e-03 3.107224488538065998e+04
2.947994465803091199e-03 3.132258348889731133e+04
2.979430989095308620e-03 3.157413011766492127e+04
3.011202741984516946e-03 3.182687377463882876e+04
3.043313299257964510e-03 3.208080297425677782e+04
3.075766273823364334e-03 3.233590500371186499e+04
3.108565317115365417e-03 3.259216637914087187e+04
3.141714119506436309e-03 3.284957322895944526e+04
3.175216410722049923e-03 3.310811164488727809e+04
3.209075960260346968e-03 3.336776754911001626e+04
3.243296577816271072e-03 3.362852643949227058e+04
3.277882113710181219e-03 3.389037305208457838e+04
3.312836459321111954e-03 3.415329137336878921e+04
3.348163547524578114e-03 3.441726494007599831e+04
3.383867353135090218e-03 3.468227701700475882e+04
3.419951893353396534e-03 3.494831065834369656e+04
3.456421228218436222e-03 3.521534848913785390e+04
3.493279461064203485e-03 3.548337197350982024e+04
3.530530738981393912e-03 3.575236069536181458e+04
3.568179253284026013e-03 3.602229356182889751e+04
3.606229239981040974e-03 3.629314956328087283e+04
3.644684980252874996e-03 3.656490896285418421e+04
3.683550800933207189e-03 3.683755189342880476e+04
3.722831074995749424e-03 3.711105733061216597e+04
3.762530222046285480e-03 3.738540058869639324e+04
3.802652708819957272e-03 3.766055551720564836e+04
3.843203049683794302e-03 3.793649633947449183e+04
3.884185807144701838e-03 3.821320347307388147e+04
3.925605592362766023e-03 3.849065983992863039e+04
3.967467065670091456e-03 3.876884599888553203e+04
