3.099999999999999978e-01 2.100000000000000193e-09
3.037245642734113793e-01 2.104021737526489502e-09
2.940422193281008179e-01 2.125889696188382234e-09
2.799444007701010761e-01 2.266918514668783200e-09
2.664214841059821537e-01 2.333821986776277477e-09
2.732531601898978701e-01 2.262671295519125404e-09
2.776844074284290920e-01 2.204588416907836874e-09
2.818707299898515206e-01 2.147534596886903433e-09
2.773206347392776494e-01 2.225758481517625195e-09
2.824504986075294100e-01 2.170643056105321256e-09
2.784294612811282765e-01 2.177921387708500479e-09
2.788984262941928693e-01 2.224237126116947851e-09
2.854536077595546950e-01 2.120918246335658142e-09
2.923505187500837210e-01 2.004933198411417635e-09
2.954200328370703565e-01 1.998609063935128894e-09
2.852907962338818160e-01 2.110703841743548981e-09
2.867085986824456922e-01 2.107078651166658545e-09
2.941145326662898962e-01 2.002344916700925300e-09
