Lmin lmax ell clyy err cib rad ir noise err_stat 
0.0 0.0 49.0 0.029268472090958227 0.0 0.0 0.0 0.0 0.0 0.022446423889786953
0.0 0.0 66.0 0.028117060050232213 0.0 0.0 0.0 0.0 0.0 0.022446423889786953
0.0 0.0 87.0 0.04761936899333651 0.0 0.0 0.0 0.0 0.0 0.022446423889786953
0.0 0.0 115.0 0.06626462621512268 0.0 0.0 0.0 0.0 0.0 0.022446423889786953
0.0 0.0 152.0 0.09421400220441706 0.0 0.0 0.0 0.0 0.0 0.022446423889786953
0.0 0.0 201.0 0.14567833056982002 0.0 0.0 0.0 0.0 0.0 0.022446423889786953
0.0 0.0 266.0 0.15894327779978304 0.0 0.0 0.0 0.0 0.0 0.022446423889786953
0.0 0.0 352.0 0.21701281207680093 0.0 0.0 0.0 0.0 0.0 0.022446423889786953
0.0 0.0 465.0 0.26165839904340676 0.0 0.0 0.0 0.0 0.0 0.022446423889786953
0.0 0.0 615.0 0.3610897586998917 0.0 0.0 0.0 0.0 0.0 0.022446423889786953
0.0 0.0 812.0 0.42443823044190465 0.0 0.0 0.0 0.0 0.0 0.022446423889786953
0.0 0.0 1074.0 0.5137489203138818 0.0 0.0 0.0 0.0 0.0 0.022446423889786953
0.0 0.0 1419.0 0.5961607329427675 0.0 0.0 0.0 0.0 0.0 0.022446423889786953
0.0 0.0 1876.0 0.6763627405782514 0.0 0.0 0.0 0.0 0.0 0.022446423889786953
0.0 0.0 2479.0 0.7474494811130609 0.0 0.0 0.0 0.0 0.0 0.022446423889786953
0.0 0.0 3277.0 0.7921196830900014 0.0 0.0 0.0 0.0 0.0 0.022446423889786953
0.0 0.0 4331.0 0.7843362431589214 0.0 0.0 0.0 0.0 0.0 0.022446423889786953
0.0 0.0 5725.0 0.7564553785314676 0.0 0.0 0.0 0.0 0.0 0.022446423889786953
0.0 0.0 7566.0 0.6762495957208113 0.0 0.0 0.0 0.0 0.0 0.022446423889786953
0.0 0.0 10000.0 0.5781155773410313 0.0 0.0 0.0 0.0 0.0 0.022446423889786953
